Bug ID,Component,Severity,Priority,OS,Assignee
265514,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
265549,File Handling,normal,P3,Windows 2000,bugs
265559,General,major,P3,Linux,bugzilla
265588,General,major,P3,Linux,bugzilla
265592,General,critical,P3,Windows XP,bugzilla
265633,General,normal,P3,Linux,bugzilla
265634,General,normal,P3,Windows 2000,bugzilla
265669,General,normal,P3,Linux,bugzilla
265673,General,critical,P3,Other,printing
265710,General,minor,P3,Linux,bugzilla
265724,General,normal,P3,Linux,bugzilla
265795,General,critical,P3,Windows XP,bugzilla
265843,General,normal,P3,Windows XP,bugzilla
265870,Bookmarks & History,normal,P3,Windows 98,vladimir+bm
265890,General,major,P3,Linux,bugzilla
265904,General,normal,P3,Linux,bugzilla
265908,General,normal,P3,Windows XP,bugzilla
265920,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
266054,General,normal,P3,Windows 2000,bugzilla
266135,General,minor,P3,Windows XP,bugzilla
266145,General,normal,P3,Windows XP,bugzilla
266152,General,trivial,P3,Windows XP,bugzilla
266155,General,critical,P3,Windows 2000,bugzilla
266167,General,normal,P3,Windows XP,general
266170,General,major,P3,Windows XP,bugzilla
266240,General,normal,P3,Windows 2000,bugzilla
266264,General,normal,P3,Windows XP,bugzilla
266294,General,critical,P3,Windows XP,bugzilla
266308,General,minor,P3,Windows 2000,bugzilla
266363,General,normal,P3,Windows XP,bugzilla
266370,Tabbed Browser,normal,P3,Windows XP,bugs
266376,General,minor,P3,Windows Server 2003,bugzilla
266383,Shell Integration,trivial,P3,Mac OS X,bugs
266405,General,normal,P3,Windows 2000,bugzilla
266415,General,normal,P3,Windows 2000,bugzilla
266420,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
266438,General,normal,P3,Windows XP,bugzilla
266451,Migration,normal,P3,Windows 2000,general
266464,General,normal,P3,Windows XP,bugzilla
266472,File Handling,normal,P3,Linux,bugs
266479,General,major,P3,Windows NT,bugzilla
266480,Shell Integration,minor,P3,Linux,bugs
266491,General,normal,P3,Mac OS X,bugzilla
266501,General,critical,P3,Linux,bugzilla
266520,General,normal,P3,Windows XP,bugzilla
266523,General,normal,P3,Windows XP,bugzilla
266527,General,normal,P3,Windows XP,bugzilla
266562,General,normal,P3,Windows XP,bugzilla
266574,General,normal,P3,Linux,bugzilla
266577,General,major,P3,Mac OS X,bugzilla
266586,General,normal,P3,Windows NT,bugzilla
266605,Preferences,minor,P3,Windows NT,bugzilla
266647,Shell Integration,normal,P3,Windows XP,bugs
266668,General,normal,P3,Windows XP,bugzilla
266672,General,major,P3,Windows 2000,bugzilla
266710,Location Bar,normal,P3,Windows XP,bugs
266720,General,major,P3,Windows XP,bugzilla
266721,General,normal,P3,Mac OS X,bugzilla
266730,General,normal,P3,Windows XP,bugzilla
266766,General,minor,P3,Windows XP,bugzilla
266779,General,trivial,P3,Windows XP,bugzilla
266796,General,normal,P3,Windows XP,bugzilla
266799,General,normal,P3,Windows XP,bugzilla
266815,General,normal,P3,Windows XP,bugzilla
266863,General,major,P3,Windows 2000,bugzilla
266929,General,normal,P3,Linux,bugzilla
266946,General,minor,P3,Windows XP,bugzilla
266980,General,minor,P3,Windows XP,bugzilla
266983,Shell Integration,normal,P3,FreeBSD,bugzilla
266997,Search,minor,P3,Windows XP,p_ch
266998,General,critical,P3,Linux,bugzilla
267011,General,normal,P3,Windows XP,bugzilla
267019,General,normal,P3,Windows XP,bugzilla
267025,General,normal,P3,Windows XP,bugzilla
267056,General,normal,P3,Windows XP,bugzilla
267069,General,major,P3,Windows XP,bugzilla
267072,General,normal,P3,Windows XP,bugzilla
267077,General,normal,P3,Windows XP,bugzilla
267083,Shell Integration,normal,P3,Linux,bugzilla
267087,Shell Integration,normal,P3,Windows 2000,bugs
267102,General,normal,P3,Windows 2000,bugzilla
267105,General,normal,P3,Windows 2000,bugzilla
267118,General,normal,P3,Windows XP,bugzilla
267134,General,critical,P3,Windows XP,bugzilla
267152,Shell Integration,normal,P3,Linux,bugs
267173,General,normal,P3,Mac OS X,bugzilla
267184,General,normal,P3,Windows XP,bugzilla
267187,General,normal,P3,Windows XP,bugzilla
267191,General,normal,P3,Windows 2000,bugzilla
267238,General,normal,P3,Windows XP,bugzilla
267251,General,normal,P3,Mac OS X,bugzilla
267253,General,normal,P3,All,bugzilla
267270,General,normal,P3,Windows XP,bugzilla
267317,General,normal,P3,Windows XP,bugzilla
